Produto;PreÁo;Link;Data;Fabricante;Modelo
Placa de VÌdeo RTX 3060 TI FTW3 Ultra Gaming EVGA NVIDIA GeForce, ARGB LED, 8GB GDDR6, DLSS, LHR, Ray Tracing - 08G-P5-3667-KL;R$ ---;https://www.kabum.com.br/produto/231829/placa-de-video-rtx-3060-TI-ftw3-ultra-gaming-evga-nvidia-geforce-argb-led-8gb-gddr6-dlss-lhr-ray-tracing-08g-p5-3667-kl;05/12/2022 05:58;EVGA;RTX 3060 TI
Placa de VÌdeo RTX 3080 FTW3 Ultra Gaming EVGA NVIDIA GeForce, 10GB GDDR6X, iCX3 Technology, ARGB, DLSS, Ray Tracing, LHR - 10G-P5-3897-KL;R$ ---;https://www.kabum.com.br/produto/189140/placa-de-video-rtx-3080-ftw3-ultra-gaming-evga-nvidia-geforce-10gb-gddr6x-icx3-technology-argb-dlss-ray-tracing-lhr-10g-p5-3897-kl;05/12/2022 05:58;EVGA;RTX 3080 
Placa De VÌdeo Gigabyte Geforce GTX 1650 D6 OC 4GB, GDDR6, 128bits - Gvn1656oc4gd Rev 2.0;R$ ---;https://www.kabum.com.br/produto/218477/placa-de-video-gigabyte-geforce-gtx-1650-d6-oc-4gb-gddr6-128bits-gvn1656oc4gd-rev-2-0;05/12/2022 05:58;Gigabyte;GTX 1650 
Placa de VÌdeo RTX 3090 TI FTW3 Ultra Gaming EVGA NVIDIA GeForce, 24GB GDDR6X, LHR, iCX3, ARGB LED, DLSS, Ray Tracing - 24G-P5-4985-KR;R$ ---;https://www.kabum.com.br/produto/328301/placa-de-video-rtx-3090-TI-ftw3-ultra-gaming-evga-nvidia-geforce-24gb-gddr6x-lhr-icx3-argb-led-dlss-ray-tracing-24g-p5-4985-kr;05/12/2022 05:58;EVGA;RTX 3090 TI
Placa De VÌdeo, Gigabyte Geforce Rtx 3080, Gaming 10GB, 320BIT;R$ ---;https://www.kabum.com.br/produto/315280/placa-de-video-gigabyte-geforce-rtx-3080-gaming-10gb-320bit;05/12/2022 05:58;Gigabyte;Rtx 3080 
Placa de VÌdeo RTX 3090 Gaming OC 24G Gigabyte NVIDIA GeForce, 24GB GDDR6X - GV-N3090GAMING OC-24GD;R$ ---;https://www.kabum.com.br/produto/128199/placa-de-video-rtx-3090-gaming-oc-24g-gigabyte-nvidia-geforce-24gb-gddr6x-gv-n3090gaming-oc-24gd;05/12/2022 05:58;Gigabyte;RTX 3090 
Placa de VÌdeo RTX 3080 TI SG Galax GeForce, 12GB GDDR6X, 19 Gbps, RGB, Ray Tracing, DLSS - 527200-0490;R$ ---;https://www.kabum.com.br/produto/162904/placa-de-video-rtx-3080-TI-sg-galax-geforce-12gb-gddr6x-19-gbps-rgb-ray-tracing-dlss-527200-0490;05/12/2022 05:58;Galax;RTX 3080 TI
Placa de VÌdeo RTX 3080 Trinity Zotac NVIDIA GeForce, 10GB GDDR6X, 19 Gbps, LHR, Ray Tracing, DLSS, RGB - ZT-A30800D-10PLHR;R$ ---;https://www.kabum.com.br/produto/166106/placa-de-video-rtx-3080-trinity-zotac-nvidia-geforce-10gb-gddr6x-19-gbps-lhr-ray-tracing-dlss-rgb-zt-a30800d-10plhr;05/12/2022 05:58;Zotac;RTX 3080 
Placa de VÌdeo RTX 3080 0O10G V2 Gaming Asus NVIDIA GeForce TUF, 10GB GDDR6X, DLSS, LHR, RGB, 19 Gbps, Ray Tracing, LED;R$ ---;https://www.kabum.com.br/produto/184239/placa-de-video-rtx-3080-0o10g-v2-gaming-asus-nvidia-geforce-tuf-10gb-gddr6x-dlss-lhr-rgb-19-gbps-ray-tracing-led;05/12/2022 05:58;Asus;RTX 3080 
Placa De VÌdeo Msi Geforce Rtx 3070 Ventus 2x Oc Dual 8gb Lhr Gddr6 256bit 912-v390-280;R$ ---;https://www.kabum.com.br/produto/364001/placa-de-video-msi-geforce-rtx-3070-ventus-2x-oc-dual-8gb-lhr-gddr6-256bit-912-v390-280;05/12/2022 05:58;Msi;Rtx 3070 
