,Produto,Preço,Link,Data
119,"Placa de Vídeo RX 550 Pcyes AMD Radeon, 4GB, GDDR5, Grafiti Series - PAJRX550DR5DF",R$ ---,https://www.kabum.com.br/produto/302209/placa-de-video-rx-550-pcyes-amd-radeon-4gb-gddr5-grafiti-series-pajrx550dr5df,05/12/2022 05:32:19
120,"Placa de Vídeo RX 6900 XT Master 16G Gigabyte Aorus AMD Radeon, rev.2.0, 16GB GDDR6, RGB - GV-R69XTAORUS M-16GD",R$ ---,https://www.kabum.com.br/produto/285226/placa-de-video-rx-6900-xt-master-16g-gigabyte-aorus-amd-radeon-rev-2-0-16gb-gddr6-rgb-gv-r69xtaorus-m-16gd,05/12/2022 05:32:19
121,"Placa de Vídeo RX 6700 XT Asus AMD Radeon, 12GB GDDR6, 16 Gbps - TUF-RX6700XT-O12G-GAMING",R$ ---,https://www.kabum.com.br/produto/150480/placa-de-video-rx-6700-xt-asus-amd-radeon-12gb-gddr6-16-gbps-tuf-rx6700xt-o12g-gaming,05/12/2022 05:32:19
122,"Placa de Vídeo RX 6600 XT Challenger D 8G OC ASRock AMD Radeon, 8GB GDDR6, Arquitetura RDNA, Ray Tracing - RX6600XT CLD 8GO",R$ ---,https://www.kabum.com.br/produto/231816/placa-de-video-rx-6600-xt-challenger-d-8g-oc-asrock-amd-radeon-8gb-gddr6-arquitetura-rdna-ray-tracing-rx6600xt-cld-8go,05/12/2022 05:32:19
123,"Placa de Vídeo RX 6500 XT Gaming OC Sapphire Pulse, 4GB, GDDR6, AMD - 11314-01-20G",R$ ---,https://www.kabum.com.br/produto/298029/placa-de-video-rx-6500-xt-gaming-oc-sapphire-pulse-4gb-gddr6-amd-11314-01-20g,05/12/2022 05:32:19
124,"Placa De Video AMD Radeon R5 220, DDR3 2GB, VGA, HDMI",R$ ---,https://www.kabum.com.br/produto/199099/placa-de-video-amd-radeon-r5-220-ddr3-2gb-vga-hdmi,05/12/2022 05:32:19
125,"Placa de Vídeo RX 6500 XT Gaming OC 4G Gigabyte AMD Radeon, 4GB GDDR6, AMD RDNA 2 - GV-R65XTGAMING OC-4GD",R$ ---,https://www.kabum.com.br/produto/303739/placa-de-video-rx-6500-xt-gaming-oc-4g-gigabyte-amd-radeon-4gb-gddr6-amd-rdna-2-gv-r65xtgaming-oc-4gd,05/12/2022 05:32:19
126,"Placa De Vídeo Radeon Rx 550 2GB Gddr5, Axrx 550 2gbd5-dh Red Dragon Powercolor",R$ ---,https://www.kabum.com.br/produto/306323/placa-de-video-radeon-rx-550-2gb-gddr5-axrx-550-2gbd5-dh-red-dragon-powercolor,05/12/2022 05:32:19
127,"Placa de Vídeo RX 6650 XT EAGLE Gigabyte AMD Radeon, 8GB GDDR6, AMD RDNA 2 Radeon, WINDFORCE 3X, Backplate - GV-R665XTEAGLE-8GD",R$ ---,https://www.kabum.com.br/produto/345889/placa-de-video-rx-6650-xt-eagle-gigabyte-amd-radeon-8gb-gddr6-amd-rdna-2-radeon-windforce-3x-backplate-gv-r665xteagle-8gd,05/12/2022 05:32:19
128,"Placa de Vídeo Pcyes AMD Radeon RX 550, 4GB, GDDR5, Grafiti Series - PAJRX550DR5DF",R$ ---,https://www.kabum.com.br/produto/302813/placa-de-video-pcyes-amd-radeon-rx-550-4gb-gddr5-grafiti-series-pajrx550dr5df,05/12/2022 05:32:19
129,"Placa De Vídeo Afox AMD Radeon R5 220, 2GB, DDR3 - Afr5220-2048d3l9-v2",R$ ---,https://www.kabum.com.br/produto/252386/placa-de-video-afox-amd-radeon-r5-220-2gb-ddr3-afr5220-2048d3l9-v2,05/12/2022 05:32:19
130,"Placa De Vídeo, Afox, Radeon R5 220 1024MB, DDR3, 64bit ,HDMI, DVI, VGA- AFR5220-1024D3L5-V2",R$ ---,https://www.kabum.com.br/produto/278674/placa-de-video-afox-radeon-r5-220-1024mb-ddr3-64bit-hdmi-dvi-vga-afr5220-1024d3l5-v2,05/12/2022 05:32:19
131,"Placa De Vídeo Afox Radeon R5 230, 2gb, Ddr3, 64 Bits, Hdmi/dvi/vga - Afr5230-2048d3l9",R$ ---,https://www.kabum.com.br/produto/309628/placa-de-video-afox-radeon-r5-230-2gb-ddr3-64-bits-hdmi-dvi-vga-afr5230-2048d3l9,05/12/2022 05:32:19
132,"Placa De Video Rx570 4GB, DDR5 256BIT, HDMI/DVI/3xdisplayport - Rx-570",R$ ---,https://www.kabum.com.br/produto/220995/placa-de-video-rx570-4gb-ddr5-256bit-hdmi-dvi-3xdisplayport-rx-570,05/12/2022 05:32:19
133,"Placa De Vídeo AFOX R5 220 Radeon 2GB, Low Profile - AFR5220-2048D3L9-V2",R$ ---,https://www.kabum.com.br/produto/161628/placa-de-video-afox-r5-220-radeon-2gb-low-profile-afr5220-2048d3l9-v2,05/12/2022 05:32:19
134,"Placa de Vídeo RX 6700 XT DUAL OC 12G Asus AMD Radeon, 12GB GDDR6, Ray Tracing, AMD RDNA 2 Architecture - 90YV0G83-M0NA00",R$ ---,https://www.kabum.com.br/produto/241298/placa-de-video-rx-6700-xt-dual-oc-12g-asus-amd-radeon-12gb-gddr6-ray-tracing-amd-rdna-2-architecture-90yv0g83-m0na00,05/12/2022 05:32:19
135,"Placa de Vídeo RX 6700 XT Asus AMD Radeon, 12GB GDDR6, 16 Gbps - ROG-STRIX-RX6700XT-O12G-GAMING",R$ ---,https://www.kabum.com.br/produto/150481/placa-de-video-rx-6700-xt-asus-amd-radeon-12gb-gddr6-16-gbps-rog-strix-rx6700xt-o12g-gaming,05/12/2022 05:32:19
136,"Placa de Vídeo RX 6750 XT O12G GAMING Asus ROG STRIX, 12GB, GDDR6 - 90YV0HK1-M0NA00",R$ ---,https://www.kabum.com.br/produto/326769/placa-de-video-rx-6750-xt-o12g-gaming-asus-rog-strix-12gb-gddr6-90yv0hk1-m0na00,05/12/2022 05:32:19
137,"Placa de Vídeo RX 5500 XT OC Gigabyte AMD Radeon, 4GB, GDDR6 - GV-R55XTOC-4GD",R$ ---,https://www.kabum.com.br/produto/109645/placa-de-video-rx-5500-xt-oc-gigabyte-amd-radeon-4gb-gddr6-gv-r55xtoc-4gd,05/12/2022 05:32:19
138,"Placa de Vídeo RX 570 Gaming Gigabyte AMD Radeon, 4GB, GDDR5, REV 2.0 - GV-RX570GAMING-4GD",R$ ---,https://www.kabum.com.br/produto/109806/placa-de-video-rx-570-gaming-gigabyte-amd-radeon-4gb-gddr5-rev-2-0-gv-rx570gaming-4gd,05/12/2022 05:32:19
139,"Placa De Video Amd Rx 6600 8gb Gddr6 128 Bits,graffiti",R$ ---,https://www.kabum.com.br/produto/373677/placa-de-video-amd-rx-6600-8gb-gddr6-128-bits-graffiti,05/12/2022 05:32:19
